Position,Precinct,BallotsCast,RegisteredVoters,TotalVotes,Candidate1Name,Candidate1Votes,Candidate1Percentage,Candidate2Name,Candidate2Votes,Candidate2Percentage,WriteInVotes,OverVotes,UnderVotes
"Position 1",327,1216,7317,1205,"Sidney S Thompson",439,36.43,"Yessica Hardin-Mercado",763,63.32,3,0,11
"Position 1",328,234,1223,227,"Sidney S Thompson",114,50.22,"Yessica Hardin-Mercado",113,49.78,0,0,7
"Position 1",329,2045,10173,2026,"Sidney S Thompson",599,29.57,"Yessica Hardin-Mercado",1418,69.99,9,0,19
"Position 1",330,466,2761,450,"Sidney S Thompson",182,40.44,"Yessica Hardin-Mercado",261,58.00,7,0,16
"Position 1",332,430,3677,424,"Sidney S Thompson",137,32.31,"Yessica Hardin-Mercado",285,67.22,2,0,6
"Position 1",333,37,403,36,"Sidney S Thompson",12,33.33,"Yessica Hardin-Mercado",24,66.67,0,0,1
"Position 1",334,28,133,27,"Sidney S Thompson",12,44.44,"Yessica Hardin-Mercado",13,48.15,2,0,1
"Position 1",335,1387,5367,1366,"Sidney S Thompson",551,40.34,"Yessica Hardin-Mercado",813,59.52,2,1,20
"Position 1",336,806,4070,788,"Sidney S Thompson",284,36.04,"Yessica Hardin-Mercado",499,63.32,5,0,18
"Position 1",337,202,2020,201,"Sidney S Thompson",69,34.33,"Yessica Hardin-Mercado",127,63.18,5,0,1
"Position 1",338,261,2799,258,"Sidney S Thompson",105,40.70,"Yessica Hardin-Mercado",152,58.91,1,0,3
"Position 1",341,47,249,44,"Sidney S Thompson",20,45.45,"Yessica Hardin-Mercado",24,54.55,0,0,3
"Position 1",343,731,3408,722,"Sidney S Thompson",273,37.81,"Yessica Hardin-Mercado",442,61.22,7,0,9
"Position 1",344,801,4287,790,"Sidney S Thompson",281,35.57,"Yessica Hardin-Mercado",508,64.30,1,0,11
"Position 1",345,5,30,5,"Sidney S Thompson",4,80.00,"Yessica Hardin-Mercado",1,20.00,0,0,0
"Position 1",346,77,362,75,"Sidney S Thompson",38,50.67,"Yessica Hardin-Mercado",37,49.33,0,0,2
